ticker,NAICS
CVI,324110
CVG,541512
CVD,541713
GUID,334614
CVC,515210
QTWO,334614
SBGI,515120
PLXT,334413
TWTC,517311
HPY,312230
VC,336211
VG,517311
HPT,525990
VR,524126
BCEI,211120
ININ,334614
FDX,492110
VZ,517311
WMT,452319
NTGR,334210
EBF,323111
TGT,452319
LAMR,525990
RJF,523110
EBS,325412
BID,312230
WDC,334112
DRQ,333132
MOVE,531110
LFUS,335313
DRI,711110
DRH,525990
WDR,523110
CONE,525990
DRE,525990
CONN,441310
ALLE,561611
OHI,525990
WTSL,448120
UIL,221111
GBNK,522110
UIS,541512
DGICA,524126
NVAX,325414
D,221111
HCOM,485310
CLFD,334210
HEOP,522110
CNVR,541810
PBYI,325412
STLD,324199
SANM,334412
CXW,525990
CCNE,522110
RAVN,326113
CXO,211120
METR,522110
HY,332439
HR,525990
HP,213111
HW,327332
HT,525990
HK,211120
AAOI,334413
HA,481111
GTXI,325412
CTIC,325412
HD,444110
HE,221111
DHI,236117
MNR,525990
INVN,334413
MNK,325412
PTX,325412
ACOR,325414
SCS,337214
PTP,524126
EGAN,334614
AUXL,325412
CHDX,423450
IBCP,522110
PBF,324110
DTSI,533110
IBCA,522110
CHDN,711212
MLR,336211
SNCR,541511
MPC,324110
UCFC,522120
AVT,423690
MPO,211120
AVP,325611
AMPE,325412
MPW,525990
FNFG,522110
BREW,311942
AVA,221111
AVB,525990
CPWR,334614
ACAD,325412
TJX,448140
SUN,424720
ZEUS,423510
SUI,525990
SUP,336211
JBLU,481111
DHT,483111
TEL,423690
AVEO,325412
LPNT,622110
NBR,213111
INTX,518210
TEX,332439
HBCP,522120
NBL,211120
NMIH,524126
TER,334514
ISIL,334413
CORE,424410
ADT,561611
ADS,312230
ADP,518210
HWCC,423610
GME,443142
CORT,325412
ADC,525990
CORR,525990
DNR,211120
JPM,522110
Z,312230
SLAB,334413
ADI,334413
RIGL,325412
AAON,333415
XEL,221111
BRT,525990
BRS,481211
PTIE,325412
UBA,525990
BRO,524210
TBPH,325412
NWPX,331210
DJCO,511110
TWC,515210
TWI,324199
TWO,525990
MFLX,334412
DISH,515210
TWX,515210
GNMK,332994
NRZ,525990
HF,531190
ALSN,336211
PJC,523110
EAT,711110
HOG,336991
SHOR,334210
SHOS,452210
ESS,525990
CIDM,532282
HON,336211
HOV,236117
HOT,721110
EVTC,518210
ESL,334513
SMCI,334111
IPXL,325412
DSPG,334413
NWS,511110
KELYA,561320
CECE,333413
KYTH,325412
RRTS,488510
SCG,221111
RYN,525990
NDSN,314999
RYL,236117
EOG,211120
EXLS,312230
EVHC,621111
NWY,448120
IDXX,325412
QRVO,334413
CNQR,334614
EOX,211120
ROIC,525990
MNI,511110
CHFN,522120
ARTNA,221310
CCOI,485310
FIS,312230
VAL,325510
LHO,525990
ADTN,334210
FIX,238210
RMBS,334413
VAR,334510
FULT,522110
FIO,334112
RLJ,525990
AMT,525990
PSTB,522110
ODFL,484121
CMO,525990
ENZN,325414
EGBN,522110
CMG,711110
OXFD,325412
CHKP,334614
CMA,522110
ASEI,334517
HMTV,515210
PCL,525990
CMS,221111
PCG,221111
SREV,312230
INGN,322291
FEIC,334516
SNBC,522110
FNGN,523920
FSLR,334413
NWLI,524113
UVE,524126
DIOD,334413
GRMN,334511
CUNB,522110
DSW,448210
DST,518210
JAKK,336991
PEBO,522110
CHUY,711110
MG,541330
MA,312230
ALOG,334514
MC,523920
INT,424720
ORB,334220
MO,312230
MN,523920
BLOX,518210
MU,334413
INN,525990
INO,332994
OKE,221210
UHS,622110
MS,523110
PLMT,522110
SPLK,334614
EBIO,325412
WABC,522110
AKS,324199
AKR,525990
LMOS,517311
ORIT,522110
AMGN,325414
APAGF,211120
DOX,541511
COST,452319
HURN,541611
EBIX,541512
HURC,334513
SRDX,332994
GLT,322121
EPAM,541511
GLW,331318
SCHW,523110
BSX,332994
POWR,312230
PBI,333318
XXIA,334514
PBH,325412
POWI,334413
POWL,335313
SCHL,511130
ELLI,334614
YRCW,484121
F,336111
SUSQ,522110
PAHC,325412
ZAZA,211120
SBY,525990
MMS,312230
MMM,332994
MMI,531110
MMC,524210
CTSH,541511
BAS,213112
SUNE,334413
ITCI,325412
VVUS,325412
CETV,515120
KOG,213112
FMBI,522110
EEFT,522320
SONC,711110
ERA,481211
HAL,213112
KOS,211120
BAH,541611
QLTY,484121
BJRI,711110
MDCI,322291
MDCO,325412
DEI,525990
CELG,325412
FBNC,522110
WETF,523110
STE,322291
NEOG,325412
STC,524127
STL,522110
NEON,334220
STI,522110
STJ,334510
EQT,211120
STT,522110
STR,221210
WSFS,522110
STX,334112
TFM,445110
CERN,541512
NCR,333316
NCS,332311
NCI,541611
CERS,332994
SPTN,424410
ECOM,334614
ECOL,562211
DNDN,325412
LII,333415
FNF,524127
BXLT,325412
FNB,522110
CLVS,325412
TRMK,522110
RT,711110
PIKE,238210
WTR,221310
RARE,325412
RS,423510
GERN,325412
RE,524126
RF,522110
MOFG,522110
ADMS,325412
RH,337110
WTM,524126
QGEN,325414
HRS,334511
HLIT,334220
HRL,311611
HRC,332994
IDIX,325412
RHP,525990
ITMN,325412
RHI,561320
RMD,332994
IVAC,332410
MTDR,211120
WFM,445110
WFC,522110
HZNP,325412
CHTP,325414
BMRN,325412
ZION,522110
COLB,522110
BMRC,522110
UGI,221210
RTN,334511
SGMO,325414
SEIC,523110
SGMS,541512
ALNY,325412
SNSS,325412
DISCA,515210
RFP,322121
END,211120
OXY,211120
AEIS,334220
ENH,524126
DISCK,515210
ENS,423610
ENT,485310
ENV,312230
ENZ,621511
SALM,515111
FBRC,523110
NPSP,325414
TEN,336211
RALY,334614
CZR,721110
LXRX,325412
CLDT,525990
SMRT,448140
CLDX,325412
TLMR,522110
AGII,524127
CVGI,336211
AGIO,325412
WCG,524114
CBST,325412
ATO,221210
UTIW,488510
MCBC,522110
ATI,331210
ATW,213111
PLXS,334412
ATR,326121
TNAV,334511
CBSH,522110
TEG,221111
AXDX,334516
XNCR,325412
SASR,522110
PODD,332994
TTEC,561320
SEB,523130
TTEK,541330
CFN,332994
CLI,525990
CLD,212111
FRO,483111
CLC,336211
PDM,531120
FRP,517311
CLX,325612
FRT,525990
CARB,518210
HMSY,312230
CLW,322130
CLR,211120
INFN,334210
SNMX,541713
INFI,325412
ZEN,518210
RATE,518210
COBZ,522110
ZEP,325612
FLTX,334614
SWI,334614
ACCL,334614
SWM,322121
LBTYA,515210
TTWO,334614
SWN,211120
DG,452319
DE,332216
PMFG,314999
PRKR,334220
