Ticker,BEA,NAICS,Title
ANIP,325,325412,Chemical products
ANN,4A0,448120,Other retail
ANSS,334,334614,Computer and electronic products
ANTM,524,524114,Insurance carriers and related activities
AOL,514,518210,"Data processing, internet publishing, and other information services"
AON,524,524210,Insurance carriers and related activities
AOSL,334,334413,Computer and electronic products
AP,333,333914,Machinery
APA,211,211120,Oil and gas extraction
APAGF,211,211120,Oil and gas extraction
APAM,523,523920,"Securities, commodity contracts, and investments"
APC,211,211120,Oil and gas extraction
APH,334,334417,Computer and electronic products
APL,486,486210,Pipeline transportation
APOG,327,327215,Nonmetallic mineral products
APTV,3361MV,336211,"Motor vehicles, bodies and trailers, and parts"
ARAY,332,332994,Fabricated metal products
ARCB,484,484121,Truck transportation
ARE,525,525990,"Funds, trusts, and other financial vehicles"
AREX,211,211120,Oil and gas extraction
ARG,42,423830,Wholesale trade
ARI,525,525990,"Funds, trusts, and other financial vehicles"
ARIA,325,325414,Chemical products
ARII,333,333914,Machinery
ARNA,325,325412,Chemical products
AROW,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
ARPI,525,525990,"Funds, trusts, and other financial vehicles"
ARQL,325,325412,Chemical products
ARR,525,525990,"Funds, trusts, and other financial vehicles"
ARRS,334,334220,Computer and electronic products
ARRY,325,325412,Chemical products
ARTC,334,334510,Computer and electronic products
ARTNA,22,221310,Utilities
ARUN,333,333316,Machinery
ARW,42,423690,Wholesale trade
ARWR,325,325412,Chemical products
ARX,334,334413,Computer and electronic products
ASC,483,483111,Water transportation
ASEI,334,334517,Computer and electronic products
ASGN,561,561320,Administrative and support services
ASPX,325,325412,Chemical products
ASTE,333,333120,Machinery
ATEC,332,332994,Fabricated metal products
ATHN,311FT,312230,Food and beverage and tobacco products
ATI,331,331210,Primary metals
ATLO,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
ATML,334,334413,Computer and electronic products
ATNI,513,517311,Broadcasting and telecommunications
ATNY,334,334413,Computer and electronic products
ATO,22,221210,Utilities
ATR,326,326121,Plastics and rubber products
ATRC,332,332994,Fabricated metal products
ATRI,332,332994,Fabricated metal products
ATRO,332,332912,Fabricated metal products
ATRS,332,332994,Fabricated metal products
ATSG,487OS,492110,Other transportation and support activities
ATVI,334,334614,Computer and electronic products
ATW,213,213111,Support activities for mining
AUXL,325,325412,Chemical products
AVA,22,221111,Utilities
AVAV,3364OT,336411,Other transportation equipment
AVB,525,525990,"Funds, trusts, and other financial vehicles"
AVEO,325,325412,Chemical products
AVGO,334,334413,Computer and electronic products
AVHI,23,236117,Construction
AVID,334,334614,Computer and electronic products
AVIV,525,525990,"Funds, trusts, and other financial vehicles"
AVNR,325,325412,Chemical products
AVNW,334,334220,Computer and electronic products
AVP,325,325611,Chemical products
AVT,42,423690,Wholesale trade
