Ticker,BEA,NAICS,Title
DGX,621,621511,Ambulatory health care services
DHI,23,236117,Construction
DHIL,523,523920,"Securities, commodity contracts, and investments"
DHR,334,334513,Computer and electronic products
DHT,483,483111,Water transportation
DHX,311FT,312230,Food and beverage and tobacco products
DIN,711AS,711110,"Performing arts, spectator sports, museums, and related activities"
DIOD,334,334413,Computer and electronic products
DIS,513,515210,Broadcasting and telecommunications
DISCA,513,515210,Broadcasting and telecommunications
DISCK,513,515210,Broadcasting and telecommunications
DISH,513,515210,Broadcasting and telecommunications
DJCO,511,511110,"Publishing industries, except internet (includes software)"
DK,324,324110,Petroleum and coal products
DLB,532RL,533110,Rental and leasing services and lessors of intangible assets
DLLR,521CI,522320,"Federal Reserve banks, credit intermediation, and related activities"
DLPH,3361MV,336211,"Motor vehicles, bodies and trailers, and parts"
DLR,525,525990,"Funds, trusts, and other financial vehicles"
DMRC,5415,541512,Computer systems design and related services
DNDN,325,325412,Chemical products
DNR,211,211120,Oil and gas extraction
DO,213,213111,Support activities for mining
DOC,525,525990,"Funds, trusts, and other financial vehicles"
DORM,3361MV,336211,"Motor vehicles, bodies and trailers, and parts"
DOX,5415,541511,Computer systems design and related services
DRE,525,525990,"Funds, trusts, and other financial vehicles"
DRH,525,525990,"Funds, trusts, and other financial vehicles"
DRI,711AS,711110,"Performing arts, spectator sports, museums, and related activities"
DRII,721,721110,Accommodation
DRIV,42,423430,Wholesale trade
DRNA,325,325412,Chemical products
DRQ,333,333132,Machinery
DRTX,325,325412,Chemical products
DSCI,332,332994,Fabricated metal products
DSPG,334,334413,Computer and electronic products
DST,514,518210,"Data processing, internet publishing, and other information services"
DSW,4A0,448210,Other retail
DTE,22,221111,Utilities
DTLK,5415,541512,Computer systems design and related services
DTSI,532RL,533110,Rental and leasing services and lessors of intangible assets
DTV,485,485310,Transit and ground passenger transportation
DUK,22,221111,Utilities
DVAX,325,325412,Chemical products
DVN,211,211120,Oil and gas extraction
DWA,512,512110,Motion picture and sound recording industries
DWDP,325,325211,Chemical products
DWRE,5415,541511,Computer systems design and related services
DWSN,213,213112,Support activities for mining
DX,525,525990,"Funds, trusts, and other financial vehicles"
DXC,514,518210,"Data processing, internet publishing, and other information services"
DXCM,332,332994,Fabricated metal products
DXLG,4A0,448140,Other retail
DXPE,42,423830,Wholesale trade
DXYN,313TT,314110,Textile mills and textile product mills
DY,23,237110,Construction
DYAX,5412OP,541713,"Miscellaneous professional, scientific, and technical services"
DYN,22,221111,Utilities
EA,334,334614,Computer and electronic products
EAT,711AS,711110,"Performing arts, spectator sports, museums, and related activities"
EBAY,311FT,312230,Food and beverage and tobacco products
EBF,323,323111,Printing and related support activities
EBIO,325,325412,Chemical products
EBIX,5415,541512,Computer systems design and related services
EBS,325,325412,Chemical products
EBSB,521CI,522120,"Federal Reserve banks, credit intermediation, and related activities"
EBTC,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
ECHO,487OS,488510,Other transportation and support activities
ECOL,562,562211,Waste management and remediation services
ECOM,334,334614,Computer and electronic products
ECPG,521CI,522210,"Federal Reserve banks, credit intermediation, and related activities"
ECYT,325,325412,Chemical products
ED,22,221111,Utilities
EDE,22,221111,Utilities
EDIG,334,334413,Computer and electronic products
EDR,525,525990,"Funds, trusts, and other financial vehicles"
EE,22,221111,Utilities
EEFT,521CI,522320,"Federal Reserve banks, credit intermediation, and related activities"
EFSC,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
EGAN,334,334614,Computer and electronic products
EGBN,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
EGHT,513,517311,Broadcasting and telecommunications
EGL,5412OP,541330,"Miscellaneous professional, scientific, and technical services"
EGLT,325,325412,Chemical products
EGN,211,211120,Oil and gas extraction
EGOV,311FT,312230,Food and beverage and tobacco products
EGP,525,525990,"Funds, trusts, and other financial vehicles"
EGY,211,211120,Oil and gas extraction
EHTH,524,524210,Insurance carriers and related activities
EIG,524,524126,Insurance carriers and related activities
EIGI,334,334614,Computer and electronic products
EIX,22,221111,Utilities
EL,325,325611,Chemical products
ELGX,332,332994,Fabricated metal products
ELLI,334,334614,Computer and electronic products
ELRC,532RL,532210,Rental and leasing services and lessors of intangible assets
ELS,525,525990,"Funds, trusts, and other financial vehicles"
ELY,339,339920,Miscellaneous manufacturing
EMC,334,334112,Computer and electronic products
EMCI,524,524126,Insurance carriers and related activities
EME,23,238210,Construction
EMN,325,325211,Chemical products
END,211,211120,Oil and gas extraction
ENDP,325,325412,Chemical products
ENH,524,524126,Insurance carriers and related activities
ENPH,334,334413,Computer and electronic products
ENS,42,423610,Wholesale trade
ENSG,623,623110,Nursing and residential care facilities
ENT,485,485310,Transit and ground passenger transportation
ENTA,325,325412,Chemical products
ENTG,326,326121,Plastics and rubber products
ENTR,334,334413,Computer and electronic products
ENV,311FT,312230,Food and beverage and tobacco products
ENVE,513,517311,Broadcasting and telecommunications
ENZ,621,621511,Ambulatory health care services
ENZN,325,325414,Chemical products
EOG,211,211120,Oil and gas extraction
EOPN,334,334614,Computer and electronic products
EOX,211,211120,Oil and gas extraction
EPAM,5415,541511,Computer systems design and related services
EPAY,334,334614,Computer and electronic products
EPIQ,5415,541511,Computer systems design and related services
EPL,211,211120,Oil and gas extraction
EPM,211,211120,Oil and gas extraction
EPR,525,525990,"Funds, trusts, and other financial vehicles"
EPZM,325,325412,Chemical products
EQIX,525,525990,"Funds, trusts, and other financial vehicles"
EQR,525,525990,"Funds, trusts, and other financial vehicles"
EQT,211,211120,Oil and gas extraction
EQU,211,211120,Oil and gas extraction
EQY,525,525990,"Funds, trusts, and other financial vehicles"
ERA,481,481211,Air transportation
ERIE,524,524210,Insurance carriers and related activities
ERII,332,332410,Fabricated metal products
EROS,42,423990,Wholesale trade
ES,22,221111,Utilities
ESBF,521CI,522120,"Federal Reserve banks, credit intermediation, and related activities"
ESCA,339,339920,Miscellaneous manufacturing
ESE,334,334290,Computer and electronic products
ESGR,524,524126,Insurance carriers and related activities
ESL,334,334513,Computer and electronic products
ESNT,524,524126,Insurance carriers and related activities
ESPR,325,325412,Chemical products
ESRT,525,525990,"Funds, trusts, and other financial vehicles"
ESRX,4A0,446110,Other retail
ESS,525,525990,"Funds, trusts, and other financial vehicles"
ESSA,521CI,522120,"Federal Reserve banks, credit intermediation, and related activities"
ESV,213,213111,Support activities for mining
ETFC,521CI,522120,"Federal Reserve banks, credit intermediation, and related activities"
ETH,337,337122,Furniture and related products
ETM,513,515111,Broadcasting and telecommunications
ETR,22,221111,Utilities
EV,523,523920,"Securities, commodity contracts, and investments"
EVC,513,515120,Broadcasting and telecommunications
EVDY,514,518210,"Data processing, internet publishing, and other information services"
EVER,521CI,522120,"Federal Reserve banks, credit intermediation, and related activities"
EVHC,621,621111,Ambulatory health care services
EVR,523,523920,"Securities, commodity contracts, and investments"
EVTC,514,518210,"Data processing, internet publishing, and other information services"
EW,322,322291,Paper products
EWBC,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
EXAC,322,322291,Paper products
EXAR,334,334413,Computer and electronic products
EXAS,5412OP,541713,"Miscellaneous professional, scientific, and technical services"
EXC,22,221111,Utilities
EXEL,5412OP,541713,"Miscellaneous professional, scientific, and technical services"
EXL,525,525990,"Funds, trusts, and other financial vehicles"
EXLS,311FT,312230,Food and beverage and tobacco products
EXP,327,327310,Nonmetallic mineral products
EXPD,487OS,488510,Other transportation and support activities
EXPO,5412OP,541611,"Miscellaneous professional, scientific, and technical services"
EXR,525,525990,"Funds, trusts, and other financial vehicles"
F,3361MV,336111,"Motor vehicles, bodies and trailers, and parts"
FAF,524,524127,Insurance carriers and related activities
FANG,211,211120,Oil and gas extraction
FARO,334,334514,Computer and electronic products
FBC,521CI,522120,"Federal Reserve banks, credit intermediation, and related activities"
FBIZ,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
FBNC,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
FBNK,521CI,522120,"Federal Reserve banks, credit intermediation, and related activities"
FBP,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
FBRC,523,523110,"Securities, commodity contracts, and investments"
FC,23,236115,Construction
FCBC,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
FCF,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
FCH,525,525990,"Funds, trusts, and other financial vehicles"
FCN,5412OP,541611,"Miscellaneous professional, scientific, and technical services"
FCNCA,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
FCS,334,334413,Computer and electronic products
FCSC,325,325412,Chemical products
FDEF,521CI,522120,"Federal Reserve banks, credit intermediation, and related activities"
FDML,3361MV,336211,"Motor vehicles, bodies and trailers, and parts"
FDX,487OS,492110,Other transportation and support activities
FE,22,221111,Utilities
FEIC,334,334516,Computer and electronic products
FELE,335,335312,"Electrical equipment, appliances, and components"
FET,333,333132,Machinery
FFBC,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
FFG,524,524113,Insurance carriers and related activities
FFIC,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
FFIN,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
FFKT,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
FFNW,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
FGL,524,524113,Insurance carriers and related activities
FHN,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
FIBK,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
FICO,311FT,312230,Food and beverage and tobacco products
FII,523,523920,"Securities, commodity contracts, and investments"
FINL,4A0,448210,Other retail
FIO,334,334112,Computer and electronic products
FIS,311FT,312230,Food and beverage and tobacco products
FISI,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
FISV,514,518210,"Data processing, internet publishing, and other information services"
FITB,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
FIVN,514,518210,"Data processing, internet publishing, and other information services"
FIX,23,238210,Construction
FIZZ,311FT,312111,Food and beverage and tobacco products
FL,4A0,448210,Other retail
FLDM,334,334516,Computer and electronic products
FLIC,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
FLIR,334,334511,Computer and electronic products
FLS,333,333914,Machinery
FLT,311FT,312230,Food and beverage and tobacco products
FLTX,334,334614,Computer and electronic products
FLXN,325,325412,Chemical products
FMBI,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
FMD,521CI,522210,"Federal Reserve banks, credit intermediation, and related activities"
FMER,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
FMI,621,621511,Ambulatory health care services
FN,334,334210,Computer and electronic products
FNB,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
FNF,524,524127,Insurance carriers and related activities
FNFG,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
FNGN,523,523920,"Securities, commodity contracts, and investments"
FNHC,524,524126,Insurance carriers and related activities
FNLC,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
FNSR,334,334413,Computer and electronic products
FOE,325,325510,Chemical products
FOLD,325,325412,Chemical products
FORM,334,334413,Computer and electronic products
FOSL,334,334519,Computer and electronic products
FOX,513,515210,Broadcasting and telecommunications
FOXA,513,515210,Broadcasting and telecommunications
FOXF,3364OT,336991,Other transportation equipment
FPO,525,525990,"Funds, trusts, and other financial vehicles"
FPRX,325,325412,Chemical products
FR,525,525990,"Funds, trusts, and other financial vehicles"
FRBK,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
FRF,524,524210,Insurance carriers and related activities
FRGI,711AS,711110,"Performing arts, spectator sports, museums, and related activities"
FRME,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
FRNK,521CI,522120,"Federal Reserve banks, credit intermediation, and related activities"
FRO,483,483111,Water transportation
FRP,513,517311,Broadcasting and telecommunications
FRSH,711AS,711110,"Performing arts, spectator sports, museums, and related activities"
FRT,525,525990,"Funds, trusts, and other financial vehicles"
FRX,325,325412,Chemical products
FSGI,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
FSL,334,334413,Computer and electronic products
FSLR,334,334413,Computer and electronic products
FSP,525,525990,"Funds, trusts, and other financial vehicles"
FSS,3361MV,336111,"Motor vehicles, bodies and trailers, and parts"
FSTR,42,423510,Wholesale trade
FSYS,3361MV,336211,"Motor vehicles, bodies and trailers, and parts"
FTD,311FT,312230,Food and beverage and tobacco products
FTI,333,333132,Machinery
FTNT,333,333316,Machinery
FTR,513,517311,Broadcasting and telecommunications
FTV,334,334513,Computer and electronic products
FUBC,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
FUL,325,325520,Chemical products
FULT,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
FUR,525,525990,"Funds, trusts, and other financial vehicles"
FURX,325,325412,Chemical products
FVE,623,623110,Nursing and residential care facilities
FWRD,487OS,488510,Other transportation and support activities
FXCB,521CI,522120,"Federal Reserve banks, credit intermediation, and related activities"
FXEN,211,211120,Oil and gas extraction
G,5412OP,541611,"Miscellaneous professional, scientific, and technical services"
GABC,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
GAIA,512,512110,Motion picture and sound recording industries
GALT,325,325412,Chemical products
GAS,22,221210,Utilities
GBCI,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
GBLI,524,524126,Insurance carriers and related activities
GBNK,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
GBX,333,333914,Machinery
GCAP,523,523130,"Securities, commodity contracts, and investments"
GCI,511,511110,"Publishing industries, except internet (includes software)"
GCO,4A0,448210,Other retail
GDP,211,211120,Oil and gas extraction
GEF,332,332439,Fabricated metal products
GEO,525,525990,"Funds, trusts, and other financial vehicles"
GEOS,334,334514,Computer and electronic products
GERN,325,325412,Chemical products
GEVA,325,325414,Chemical products
GFF,332,332321,Fabricated metal products
GFN,532RL,532210,Rental and leasing services and lessors of intangible assets
GGG,333,333914,Machinery
GGP,525,525990,"Funds, trusts, and other financial vehicles"
GHDX,621,621511,Ambulatory health care services
GHL,523,523110,"Securities, commodity contracts, and investments"
GILD,325,325414,Chemical products
GIMO,514,518210,"Data processing, internet publishing, and other information services"
GLF,333,333132,Machinery
GLPW,332,332313,Fabricated metal products
GLRE,524,524126,Insurance carriers and related activities
GLRI,211,211120,Oil and gas extraction
GLT,322,322121,Paper products
GLUU,5415,541511,Computer systems design and related services
GLW,331,331318,Primary metals
GM,3361MV,336111,"Motor vehicles, bodies and trailers, and parts"
GME,4A0,443142,Other retail
GMED,332,332994,Fabricated metal products
GNCA,325,325414,Chemical products
GNE,22,221111,Utilities
GNMK,332,332994,Fabricated metal products
GNRC,335,335312,"Electrical equipment, appliances, and components"
GNTX,3361MV,336211,"Motor vehicles, bodies and trailers, and parts"
GNW,524,524113,Insurance carriers and related activities
GOGO,485,485310,Transit and ground passenger transportation
GOOD,HS,531190,Other real estate
GPC,42,423120,Wholesale trade
GPN,311FT,312230,Food and beverage and tobacco products
GPOR,211,211120,Oil and gas extraction
GPS,4A0,448140,Other retail
GPT,525,525990,"Funds, trusts, and other financial vehicles"
GRC,333,333914,Machinery
GRMN,334,334511,Computer and electronic products
GRPN,5412OP,541810,"Miscellaneous professional, scientific, and technical services"
GRT,525,525990,"Funds, trusts, and other financial vehicles"
GRUB,311FT,312230,Food and beverage and tobacco products
GS,523,523110,"Securities, commodity contracts, and investments"
GSAT,485,485310,Transit and ground passenger transportation
GSBC,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
GSIT,334,334413,Computer and electronic products
GST,211,211120,Oil and gas extraction
GT,326,326211,Plastics and rubber products
GTAT,334,334413,Computer and electronic products
GTIV,621,621610,Ambulatory health care services
GTLS,332,332313,Fabricated metal products
GTN,513,515120,Broadcasting and telecommunications
GTS,524,524113,Insurance carriers and related activities
GTT,513,517311,Broadcasting and telecommunications
GTXI,325,325412,Chemical products
GUID,334,334614,Computer and electronic products
GWR,482,482111,Rail transportation
GWRE,334,334614,Computer and electronic products
GXP,22,221111,Utilities
H,721,721110,Accommodation
HA,481,481111,Air transportation
HAE,332,332994,Fabricated metal products
HAFC,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
HAL,213,213112,Support activities for mining
HALL,524,524128,Insurance carriers and related activities
HALO,325,325414,Chemical products
HAR,334,334310,Computer and electronic products
HAS,3364OT,336991,Other transportation equipment
HASI,525,525990,"Funds, trusts, and other financial vehicles"
HBAN,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
HBCP,521CI,522120,"Federal Reserve banks, credit intermediation, and related activities"
HBHC,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
HBIO,334,334516,Computer and electronic products
HCA,622,622110,Hospitals
HCBK,521CI,522120,"Federal Reserve banks, credit intermediation, and related activities"
HCI,524,524126,Insurance carriers and related activities
HCKT,5412OP,541611,"Miscellaneous professional, scientific, and technical services"
HCOM,485,485310,Transit and ground passenger transportation
HCP,525,525990,"Funds, trusts, and other financial vehicles"
HCT,513,517311,Broadcasting and telecommunications
HD,4A0,444110,Other retail
HDNG,333,333517,Machinery
HE,22,221111,Utilities
HEAR,334,334290,Computer and electronic products
HEI,3364OT,336412,Other transportation equipment
HELE,333,333414,Machinery
HEOP,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
HERO,213,213111,Support activities for mining
HES,324,324110,Petroleum and coal products
HF,HS,531190,Other real estate
HFC,324,324110,Petroleum and coal products
HFWA,521CI,522120,"Federal Reserve banks, credit intermediation, and related activities"
HHC,525,525990,"Funds, trusts, and other financial vehicles"
HHS,511,511140,"Publishing industries, except internet (includes software)"
HIG,524,524126,Insurance carriers and related activities
HIIQ,524,524210,Insurance carriers and related activities
HIL,5412OP,541330,"Miscellaneous professional, scientific, and technical services"
HILL,334,334112,Computer and electronic products
HITK,325,325412,Chemical products
HITT,334,334413,Computer and electronic products
HIVE,5415,541512,Computer systems design and related services
HIW,525,525990,"Funds, trusts, and other financial vehicles"
HK,211,211120,Oil and gas extraction
HLF,42,424210,Wholesale trade
HLIT,334,334220,Computer and electronic products
HLSS,521CI,522292,"Federal Reserve banks, credit intermediation, and related activities"
HLT,721,721110,Accommodation
HLX,213,213112,Support activities for mining
HME,525,525990,"Funds, trusts, and other financial vehicles"
HMHC,511,511130,"Publishing industries, except internet (includes software)"
HMN,524,524126,Insurance carriers and related activities
HMST,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
HMSY,311FT,312230,Food and beverage and tobacco products
HMTV,513,515210,Broadcasting and telecommunications
HNI,337,337214,Furniture and related products
HNR,211,211120,Oil and gas extraction
HNT,524,524114,Insurance carriers and related activities
HOG,3364OT,336991,Other transportation equipment
HOLX,334,334517,Computer and electronic products
HOMB,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
HON,3361MV,336211,"Motor vehicles, bodies and trailers, and parts"
HOT,721,721110,Accommodation
HOV,23,236117,Construction
HP,213,213111,Support activities for mining
HPT,525,525990,"Funds, trusts, and other financial vehicles"
HPTX,325,325412,Chemical products
HPY,311FT,312230,Food and beverage and tobacco products
HR,525,525990,"Funds, trusts, and other financial vehicles"
HRC,332,332994,Fabricated metal products
HRL,311FT,311611,Food and beverage and tobacco products
HRS,334,334511,Computer and electronic products
HRTG,524,524126,Insurance carriers and related activities
HRTX,325,325412,Chemical products
HSIC,42,423450,Wholesale trade
HSII,5412OP,541612,"Miscellaneous professional, scientific, and technical services"
HSP,325,325412,Chemical products
HST,525,525990,"Funds, trusts, and other financial vehicles"
HT,525,525990,"Funds, trusts, and other financial vehicles"
HTA,525,525990,"Funds, trusts, and other financial vehicles"
HTBI,521CI,522120,"Federal Reserve banks, credit intermediation, and related activities"
HTBK,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
HTCH,334,334220,Computer and electronic products
HTCO,513,517311,Broadcasting and telecommunications
HTH,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
HTLD,484,484121,Truck transportation
HTLF,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
HTS,525,525990,"Funds, trusts, and other financial vehicles"
HTWR,332,332994,Fabricated metal products
HUBG,487OS,488510,Other transportation and support activities
HUM,524,524114,Insurance carriers and related activities
HURC,334,334513,Computer and electronic products
HURN,5412OP,541611,"Miscellaneous professional, scientific, and technical services"
HVB,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
HVT,337,337110,Furniture and related products
HW,327,327332,Nonmetallic mineral products
HWCC,42,423610,Wholesale trade
HXL,325,325211,Chemical products
HY,332,332439,Fabricated metal products
HZNP,325,325412,Chemical products
I,485,485310,Transit and ground passenger transportation
IART,334,334516,Computer and electronic products
IBCA,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
IBCP,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
IBKC,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
IBKR,523,523110,"Securities, commodity contracts, and investments"
IBOC,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
IBTX,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
ICEL,325,325414,Chemical products
ICFI,5412OP,541611,"Miscellaneous professional, scientific, and technical services"
ICPT,325,325412,Chemical products
ICUI,332,332994,Fabricated metal products
IDA,22,221111,Utilities
IDCC,532RL,533110,Rental and leasing services and lessors of intangible assets
IDIX,325,325412,Chemical products
IDRA,325,325414,Chemical products
IDT,513,517311,Broadcasting and telecommunications
IDTI,334,334413,Computer and electronic products
IDXX,325,325412,Chemical products
IEX,333,333914,Machinery
IGTE,5415,541511,Computer systems design and related services
IHC,524,524113,Insurance carriers and related activities
III,5412OP,541611,"Miscellaneous professional, scientific, and technical services"
IIVI,333,333314,Machinery
IL,334,334614,Computer and electronic products
ILMN,334,334516,Computer and electronic products
IM,42,423430,Wholesale trade
IMGN,325,325412,Chemical products
IMI,334,334413,Computer and electronic products
IMMR,333,333316,Machinery
IMMU,325,325412,Chemical products
IMPV,334,334614,Computer and electronic products
INCY,5412OP,541713,"Miscellaneous professional, scientific, and technical services"
INDB,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
INFA,334,334614,Computer and electronic products
INFI,325,325412,Chemical products
INFN,334,334210,Computer and electronic products
INGN,322,322291,Paper products
ININ,334,334614,Computer and electronic products
INN,525,525990,"Funds, trusts, and other financial vehicles"
INO,332,332994,Fabricated metal products
INSM,325,325412,Chemical products
INSY,325,325412,Chemical products
INT,42,424720,Wholesale trade
INTC,334,334413,Computer and electronic products
INTU,334,334614,Computer and electronic products
INTX,514,518210,"Data processing, internet publishing, and other information services"
INVN,334,334413,Computer and electronic products
INWK,311FT,312230,Food and beverage and tobacco products
IO,213,213112,Support activities for mining
IP,322,322121,Paper products
IPAR,325,325611,Chemical products
IPCC,524,524126,Insurance carriers and related activities
IPG,5412OP,541810,"Miscellaneous professional, scientific, and technical services"
IPGP,334,334413,Computer and electronic products
IPHI,334,334413,Computer and electronic products
IPXL,325,325412,Chemical products
IQNT,513,517311,Broadcasting and telecommunications
IQV,5412OP,541713,"Miscellaneous professional, scientific, and technical services"
IR,334,334512,Computer and electronic products
IRC,525,525990,"Funds, trusts, and other financial vehicles"
IRDM,334,334290,Computer and electronic products
IRET,525,525990,"Funds, trusts, and other financial vehicles"
IRF,334,334413,Computer and electronic products
IRM,525,525990,"Funds, trusts, and other financial vehicles"
IRWD,325,325412,Chemical products
ISBC,521CI,522120,"Federal Reserve banks, credit intermediation, and related activities"
ISCA,711AS,711212,"Performing arts, spectator sports, museums, and related activities"
ISIL,334,334413,Computer and electronic products
ISLE,721,721110,Accommodation
ISRG,322,322291,Paper products
ISRL,211,211120,Oil and gas extraction
ISSC,5415,541511,Computer systems design and related services
ISSI,334,334413,Computer and electronic products
IT,23,236115,Construction
ITC,22,221111,Utilities
ITCI,325,325412,Chemical products
ITG,523,523110,"Securities, commodity contracts, and investments"
ITIC,524,524127,Insurance carriers and related activities
ITMN,325,325412,Chemical products
ITRI,334,334514,Computer and electronic products
ITT,333,333914,Machinery
IVAC,332,332410,Fabricated metal products
IVC,322,322291,Paper products
IVR,525,525990,"Funds, trusts, and other financial vehicles"
IVZ,523,523920,"Securities, commodity contracts, and investments"
IXYS,334,334413,Computer and electronic products
JACK,711AS,711110,"Performing arts, spectator sports, museums, and related activities"
JAKK,3364OT,336991,Other transportation equipment
JBHT,484,484121,Truck transportation
JBL,334,334412,Computer and electronic products
JBLU,481,481111,Air transportation
JCOM,513,517311,Broadcasting and telecommunications
JIVE,514,518210,"Data processing, internet publishing, and other information services"
JJSF,311FT,311812,Food and beverage and tobacco products
JKHY,5415,541512,Computer systems design and related services
JLL,ORE,531110,Other real estate
JNJ,325,325412,Chemical products
JNS,523,523920,"Securities, commodity contracts, and investments"
JOE,23,237210,Construction
JONE,211,211120,Oil and gas extraction
JOUT,339,339920,Miscellaneous manufacturing
JOY,333,333131,Machinery
JPM,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
JRN,513,515120,Broadcasting and telecommunications
JWN,4A0,448140,Other retail
KBH,23,236117,Construction
KCG,523,523110,"Securities, commodity contracts, and investments"
KCLI,524,524113,Insurance carriers and related activities
KEG,213,213112,Support activities for mining
KELYA,561,561320,Administrative and support services
KERX,325,325412,Chemical products
KEY,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
KEYW,5415,541512,Computer systems design and related services
KFRC,561,561320,Administrative and support services
KFY,5412OP,541612,"Miscellaneous professional, scientific, and technical services"
KIM,525,525990,"Funds, trusts, and other financial vehicles"
KIN,325,325412,Chemical products
KLAC,333,333314,Machinery
KMI,486,486210,Pipeline transportation
KMPR,524,524126,Insurance carriers and related activities
KMT,333,333517,Machinery
KNX,484,484121,Truck transportation
KODK,325,325992,Chemical products
KOG,213,213112,Support activities for mining
KOPN,334,334413,Computer and electronic products
KOS,211,211120,Oil and gas extraction
KPTI,325,325412,Chemical products
KRA,325,325211,Chemical products
KRC,525,525990,"Funds, trusts, and other financial vehicles"
KRG,525,525990,"Funds, trusts, and other financial vehicles"
KRNY,521CI,522120,"Federal Reserve banks, credit intermediation, and related activities"
KS,322,322121,Paper products
KSU,482,482111,Rail transportation
KTWO,332,332994,Fabricated metal products
KVHI,334,334220,Computer and electronic products
KWK,211,211120,Oil and gas extraction
KYTH,325,325412,Chemical products
L,524,524126,Insurance carriers and related activities
LADR,525,525990,"Funds, trusts, and other financial vehicles"
LAMR,525,525990,"Funds, trusts, and other financial vehicles"
LAZ,523,523920,"Securities, commodity contracts, and investments"
LB,4A0,448120,Other retail
LBAI,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
LBTYA,513,515210,Broadcasting and telecommunications
LCI,325,325412,Chemical products
LCNB,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
LDL,3361MV,336211,"Motor vehicles, bodies and trailers, and parts"
LDOS,5415,541512,Computer systems design and related services
LDR,334,334514,Computer and electronic products
LDRH,332,332994,Fabricated metal products
LE,4A0,448140,Other retail
LEA,3361MV,336211,"Motor vehicles, bodies and trailers, and parts"
LEE,511,511110,"Publishing industries, except internet (includes software)"
LF,3364OT,336991,Other transportation equipment
LFUS,335,335313,"Electrical equipment, appliances, and components"
LFVN,325,325412,Chemical products
LGF,512,512110,Motion picture and sound recording industries
LGIH,23,236117,Construction
LGND,325,325412,Chemical products
LH,621,621511,Ambulatory health care services
LHCG,621,621610,Ambulatory health care services
LHO,525,525990,"Funds, trusts, and other financial vehicles"
LIFE,325,325414,Chemical products
LII,333,333415,Machinery
LINTA,513,515210,Broadcasting and telecommunications
LION,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
LIOX,311FT,312230,Food and beverage and tobacco products
LKFN,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
LL,4A0,444110,Other retail
LLL,334,334220,Computer and electronic products
