ticker,pricetorevenue,marketcap,pricetobook,pricetoearnings,beta
A,3.479481008,14284512132.0,3.4043573643410845,31.030163953488373,1.199496875
AAL,0.563737597,22810216321.0,4.798914728682171,3.3980259689922434,1.500109375
AAN,0.56655814,1822029250.0,1.2767891472868211,13.354705038759684,0.9533218750000003
AAOI,1.347858527,286998459.8,1.6521158914728673,30.57440271317829,2.0435125
AAON,3.907188372,1463444293.0,7.6053220930232515,28.907236821705432,1.4278734375
AAPL,2.581474419,577633000000.0,4.4997523255813965,11.782088759689913,1.1178968749999998
AAT,8.204965504,2561673102.0,3.235056976744186,65.25548333333334,0.5926281250000003
AAWW,0.578472093,1038494791.0,0.7066027131782942,127.0370015625,1.47616875
ABAX,4.941363953,1091192202.0,4.4880124031007735,33.02976899224807,0.8160265624999998
ABBV,4.098115504,99067185543.0,19.66250503875969,17.690666279069763,1.1858296874999998
ABC,0.131462403,18807105326.0,10.556655426356587,21.728303875969004,0.7274500000000003
ABCB,3.884344574,1131410107.0,1.8864732558139543,21.334861240310087,0.7635828125000002
ABCO,1.929775581,1527950604.0,3.4285124031007768,14.8947,0.6008660377358492
ABMD,13.62445388,4711912275.0,12.597470155038755,99.01746472868216,0.9509328124999998
ABT,2.934553101,60205615976.0,2.8891988372093014,27.17087635658915,1.0522078125
ACC,7.7687879839999985,5965554375.0,1.8171410852713183,60.114650775193844,0.4952218750000001
ACET,1.152245736,645069033.8,2.153152713178296,17.93164186046511,1.5445578124999997
ACGL,2.286603876,9279083376.0,1.489628682170543,18.677166279069766,0.5038437499999999
ACHC,1.912442248,4177786698.0,1.8956620155038768,37.30841958762888,1.0982249999999996
ACHN,18.2781907,999333534.1,2.341373255813953,175.09652769230766,1.2973484374999997
ACIW,2.233433333,2261210677.0,3.2894224806201544,19.249500387596893,1.21713125
ACLS,0.8432755809999999,234365491.6,1.2074627906976745,23.646403488372112,1.2103062499999995
ACM,0.27299031,4857355690.0,1.4181410852713168,344.27725538461533,1.563075
ACN,2.209577519,75353124685.0,10.811950387596912,20.116056589147288,1.0886468749999998
ACOR,2.342097287,1187469556.0,1.8249627906976742,112.7334171875,0.9368984375000002
ACRE,8.161060078,343576700.0,0.8366178294573641,9.885687984496128,0.5597875
ACXM,2.0890519380000003,1793369703.0,2.557563953488375,335.9508573643411,1.3367671875
ADBE,9.327715891,49123584457.0,6.830860077519372,57.440544573643415,1.0103015625000005
ADC,11.821412400000002,920753241.0,1.8007879844961248,22.978168604651152,0.5538687499999998
ADI,5.520734496,18830948603.0,3.7658581395348834,26.98614379844961,1.3292531250000001
ADP,3.524600388,40770832783.0,9.359047674418608,26.868312015503864,1.0477609374999999
ADS,1.927303101,12881358147.0,7.11208023255814,20.976926744186045,1.0759046875000002
ADTN,1.5637922480000002,944173232.3,1.9830406976744188,39.60836782945734,0.6155593749999998
ADUS,0.726202703,261198835.8,1.7847702702702701,28.72827220077221,0.8291609375
AE,0.10827027,156828242.2,1.0229289575289573,66.2674,1.0873578125
AEE,1.975454651,11900176190.0,1.7047422480620145,18.885900000000003,0.426015625
AEGN,0.54950969,707426295.9,1.260013953488372,27.9002,1.6711906249999995
AEIS,3.790184109,1595250907.0,5.133069767441864,16.57967384615385,1.3104781249999995
AEL,0.855986047,1422269961.0,0.596001162790697,9.10314226804124,1.7836187499999998
AEO,0.858626357,3063383419.0,2.781844573643413,13.44922015503876,1.1227140625000003
AEP,1.951844574,31480898051.0,1.7551577519379842,17.32682674418603,0.4019046874999999
AEPI,0.40371938,445653006.8,4.168276356589145,12.83282945736435,0.811384375
AET,0.655337209,40226067814.0,2.334288372093022,16.76264612403101,0.752153125
AF,3.958871705,1538792389.0,0.9879573643410854,21.55791317829457,0.89523125
AFG,1.044061628,6507589903.0,1.333524806201549,17.147081395348827,0.8444921874999998
AFH,1.312754826,220318439.9,1.664419305019306,13.32191158301159,0.5893359375000001
AFL,1.4416333330000002,28402439452.0,1.3734,10.973321317829463,0.9885593750000005
AFSI,1.00620155,4913673028.0,2.073782170542636,12.99741860465117,0.9361765624999998
AGCO,0.571984496,4191752395.0,1.4539162790697673,20.413839147286822,1.1559468750000002
AGII,0.846251938,1250464176.0,0.7237174418604653,8.608817441860467,0.5990843749999999
AGM,2.965079845,416423239.7,1.1332333333333342,8.226730620155038,1.0851562499999998
AGN,7.016329845,93626244457.0,1.2587895348837206,19.54523023255814,0.79554375
AGNC,18.68693906,6312332752.0,0.8447538759689919,35.487300781249964,0.2356484375
AGO,1.589295736,3798348434.0,0.6048693798449608,4.007937596899224,1.1793796875
AGTC,6.890906977,241258689.2,2.2596468992248053,15.490450769230774,-0.37517343750000004
AHL,1.020691085,2938907118.0,0.8115375968992249,8.797967441860466,0.7774640625000003
AHP,1.141204651,390951859.5,1.2244023255813956,51.498746153846156,0.99504375
AHT,0.32097093,589275659.6,0.7551759689922478,2.6613476190476195,1.4880359374999996
AI,7.8952307689999985,315756684.5,0.7131019379844962,18.87435625,0.8697328125
AIG,1.264897674,67546526449.0,0.7577957364341087,115.62750629921257,1.1861828125000005
AIMC,1.013208915,735181793.2,2.953076744186048,22.22226744186048,1.4343828124999995
AIN,1.78644031,1290972965.0,2.5142174418604637,19.851650775193807,1.254271875
AIRM,1.2019864340000002,1341341652.0,2.3479348837209315,12.498801937984496,1.1552453125000006
AIZ,0.583106977,5395897624.0,1.186177131782946,18.833011627906973,1.007196875
AJG,1.494925969,8199399031.0,2.2587511627906984,21.633147674418613,0.8521390625
AKAM,4.336950775,9779274612.0,3.1141961240310088,30.648154651162802,1.3415234375000005
