ticker,pricetorevenue,marketcap,pricetobook,pricetoearnings
A,3.479481008,14284512132.0,3.4043573643410845,31.030163953488376
AAL,0.563737597,22810216321.0,4.798914728682171,3.3980259689922434
AAN,0.56655814,1822029250.0,1.2767891472868211,13.354705038759684
AAOI,1.3478585269999999,286998459.8,1.6521158914728673,30.574402713178287
AAON,3.907188372,1463444293.0,7.605322093023251,28.90723682170543
AAPL,2.581474419,577633000000.0,4.499752325581396,11.782088759689913
AAT,8.204965504,2561673102.0,3.235056976744186,65.25548333333334
AAWW,0.578472093,1038494791.0,0.7066027131782942,127.0370015625
ABAX,4.941363953,1091192202.0,4.488012403100774,33.02976899224807
ABBV,4.098115504,99067185543.0,19.66250503875969,17.690666279069763
ABC,0.131462403,18807105326.0,10.556655426356587,21.728303875969004
ABCB,3.8843445739999996,1131410107.0,1.8864732558139545,21.334861240310083
ABCO,1.929775581,1527950604.0,3.4285124031007768,14.8947
ABMD,13.62445388,4711912275.0,12.597470155038755,99.01746472868216
ABT,2.934553101,60205615976.0,2.889198837209302,27.17087635658915
ACC,7.768787983999999,5965554375.0,1.8171410852713183,60.11465077519384
ACET,1.152245736,645069033.8,2.153152713178296,17.93164186046511
ACGL,2.286603876,9279083376.0,1.4896286821705427,18.677166279069763
ACHC,1.912442248,4177786698.0,1.895662015503877,37.308419587628876
ACHN,18.2781907,999333534.1,2.3413732558139535,175.09652769230766
ACIW,2.2334333330000002,2261210677.0,3.2894224806201544,19.249500387596893
ACLS,0.8432755809999999,234365491.6,1.2074627906976743,23.646403488372115
ACM,0.27299031,4857355690.0,1.418141085271317,344.27725538461533
ACN,2.209577519,75353124685.0,10.811950387596912,20.11605658914729
ACOR,2.342097287,1187469556.0,1.824962790697674,112.73341718750001
ACRE,8.161060078,343576700.0,0.836617829457364,9.885687984496126
ACXM,2.0890519380000003,1793369703.0,2.557563953488375,335.9508573643411
ADBE,9.327715891,49123584457.0,6.830860077519373,57.440544573643415
ADC,11.821412400000002,920753241.0,1.8007879844961248,22.97816860465115
ADI,5.520734496,18830948603.0,3.765858139534884,26.986143798449614
ADP,3.524600388,40770832783.0,9.359047674418607,26.868312015503864
ADS,1.927303101,12881358147.0,7.11208023255814,20.976926744186045
ADTN,1.5637922480000002,944173232.3,1.9830406976744188,39.60836782945734
ADUS,0.726202703,261198835.8,1.78477027027027,28.72827220077221
AE,0.10827027,156828242.2,1.0229289575289573,66.2674
AEE,1.975454651,11900176190.0,1.7047422480620145,18.885900000000003
AEGN,0.54950969,707426295.9,1.260013953488372,27.9002
AEIS,3.7901841089999997,1595250907.0,5.133069767441864,16.579673846153852
AEL,0.855986047,1422269961.0,0.596001162790697,9.103142268041239
AEO,0.858626357,3063383419.0,2.781844573643413,13.44922015503876
AEP,1.951844574,31480898051.0,1.7551577519379842,17.32682674418603
AEPI,0.40371938,445653006.8,4.168276356589145,12.83282945736435
AET,0.655337209,40226067814.0,2.334288372093022,16.76264612403101
AF,3.958871705,1538792389.0,0.9879573643410854,21.557913178294566
AFG,1.044061628,6507589903.0,1.333524806201549,17.147081395348827
AFH,1.312754826,220318439.9,1.664419305019306,13.32191158301159
AFL,1.4416333330000002,28402439452.0,1.3734,10.973321317829463
AFSI,1.00620155,4913673028.0,2.073782170542636,12.99741860465117
AGCO,0.571984496,4191752395.0,1.4539162790697673,20.41383914728682
AGII,0.846251938,1250464176.0,0.7237174418604653,8.608817441860467
AGM,2.965079845,416423239.7,1.1332333333333342,8.226730620155037
AGN,7.016329845,93626244457.0,1.2587895348837206,19.54523023255814
AGNC,18.68693906,6312332752.0,0.8447538759689919,35.48730078124997
AGO,1.589295736,3798348434.0,0.6048693798449608,4.007937596899224
AGTC,6.890906977,241258689.2,2.259646899224805,15.490450769230772
AHL,1.020691085,2938907118.0,0.8115375968992249,8.797967441860466
AHP,1.141204651,390951859.5,1.2244023255813956,51.498746153846156
AHT,0.32097093,589275659.6,0.7551759689922478,2.6613476190476195
AI,7.895230768999999,315756684.5,0.7131019379844962,18.874356249999998
AIG,1.264897674,67546526449.0,0.7577957364341087,115.62750629921257
AIMC,1.013208915,735181793.2,2.9530767441860477,22.222267441860478
AIN,1.78644031,1290972965.0,2.514217441860464,19.851650775193807
AIQ,0.15875155,77608969.88,,19.98471899224807
AIRM,1.2019864340000002,1341341652.0,2.347934883720932,12.498801937984496
AIV,,6569077995.0,,
AIZ,0.583106977,5395897624.0,1.186177131782946,18.833011627906973
AJG,1.494925969,8199399031.0,2.2587511627906984,21.63314767441861
AKAM,4.336950775,9779274612.0,3.1141961240310088,30.6481546511628
AKR,14.19827558,2521806919.0,2.016225968992248,36.892096899224796
AKRX,3.2042848839999998,3363287587.0,4.735899999999997,20.105266279069784
AL,2.533750388,3307968779.0,1.048914341085272,10.437988372093017
ALB,3.2098,8335509616.0,2.5205724806201544,34.88035465116282
ALE,1.969244574,2876513066.0,1.5548864341085282,20.35357015503877
ALEX,5.447716279,1860651434.0,1.530618992248063,54.84677460317461
ALG,0.9371593020000001,712679650.9,1.900263953488372,16.110210465116282
ALGN,7.13147093,6620537463.0,7.280023255813951,40.61962364341083
ALGT,1.958389535,2536588662.0,6.572286046511626,11.09003372093023
ALJ,0.132875581,649865916.7,1.1054379844961242,15.251976190476194
ALK,1.5859279069999999,9036480660.0,3.50029573643411,10.25613759689923
ALL,0.7311627909999999,25919162853.0,1.26655503875969,15.983810852713171
ALLE,2.9788240310000003,6386522705.0,100.97551240310078,34.904891085271295
ALOG,1.978555039,1030708749.0,1.950296899224806,70.12806589147284
