ticker,pricetorevenue,marketcap,pricetobook
A,3.479481008,14284512132.0,3.4043573643410845
AAL,0.563737597,22810216321.0,4.798914728682171
AAN,0.56655814,1822029250.0,1.2767891472868211
AAOI,1.3478585269999999,286998459.8,1.6521158914728673
AAON,3.907188372,1463444293.0,7.605322093023251
AAPL,2.581474419,577633000000.0,4.499752325581396
AAT,8.204965504,2561673102.0,3.235056976744186
AAWW,0.578472093,1038494791.0,0.7066027131782942
ABAX,4.941363953,1091192202.0,4.488012403100774
ABBV,4.098115504,99067185543.0,19.66250503875969
ABC,0.131462403,18807105326.0,10.556655426356587
ABCB,3.8843445739999996,1131410107.0,1.8864732558139545
ABCO,1.929775581,1527950604.0,3.4285124031007768
ABMD,13.62445388,4711912275.0,12.597470155038755
ABT,2.934553101,60205615976.0,2.889198837209302
ACC,7.768787983999999,5965554375.0,1.8171410852713183
ACET,1.152245736,645069033.8,2.153152713178296
ACGL,2.286603876,9279083376.0,1.4896286821705427
ACHC,1.912442248,4177786698.0,1.895662015503877
ACHN,18.2781907,999333534.1,2.3413732558139535
ACIW,2.2334333330000002,2261210677.0,3.2894224806201544
ACLS,0.8432755809999999,234365491.6,1.2074627906976743
ACM,0.27299031,4857355690.0,1.418141085271317
ACN,2.209577519,75353124685.0,10.811950387596912
ACOR,2.342097287,1187469556.0,1.824962790697674
ACRE,8.161060078,343576700.0,0.836617829457364
ACXM,2.0890519380000003,1793369703.0,2.557563953488375
ADBE,9.327715891,49123584457.0,6.830860077519373
ADC,11.821412400000002,920753241.0,1.8007879844961248
ADI,5.520734496,18830948603.0,3.765858139534884
ADP,3.524600388,40770832783.0,9.359047674418607
ADS,1.927303101,12881358147.0,7.11208023255814
ADTN,1.5637922480000002,944173232.3,1.9830406976744188
ADUS,0.726202703,261198835.8,1.78477027027027
AE,0.10827027,156828242.2,1.0229289575289573
AEE,1.975454651,11900176190.0,1.7047422480620145
AEGN,0.54950969,707426295.9,1.260013953488372
AEIS,3.7901841089999997,1595250907.0,5.133069767441864
AEL,0.855986047,1422269961.0,0.596001162790697
AEO,0.858626357,3063383419.0,2.781844573643413
AEP,1.951844574,31480898051.0,1.7551577519379842
AEPI,0.40371938,445653006.8,4.168276356589145
AET,0.655337209,40226067814.0,2.334288372093022
AF,3.958871705,1538792389.0,0.9879573643410854
AFG,1.044061628,6507589903.0,1.333524806201549
AFH,1.312754826,220318439.9,1.664419305019306
AFL,1.4416333330000002,28402439452.0,1.3734
AFSI,1.00620155,4913673028.0,2.073782170542636
AGCO,0.571984496,4191752395.0,1.4539162790697673
AGII,0.846251938,1250464176.0,0.7237174418604653
AGM,2.965079845,416423239.7,1.1332333333333342
AGN,7.016329845,93626244457.0,1.2587895348837206
AGNC,18.68693906,6312332752.0,0.8447538759689919
AGO,1.589295736,3798348434.0,0.6048693798449608
AGTC,6.890906977,241258689.2,2.259646899224805
AHL,1.020691085,2938907118.0,0.8115375968992249
AHP,1.141204651,390951859.5,1.2244023255813956
AHT,0.32097093,589275659.6,0.7551759689922478
AI,7.895230768999999,315756684.5,0.7131019379844962
AIG,1.264897674,67546526449.0,0.7577957364341087
AIMC,1.013208915,735181793.2,2.9530767441860477
AIN,1.78644031,1290972965.0,2.514217441860464
AIQ,0.15875155,77608969.88,
AIRM,1.2019864340000002,1341341652.0,2.347934883720932
AIV,,6569077995.0,
AIZ,0.583106977,5395897624.0,1.186177131782946
AJG,1.494925969,8199399031.0,2.2587511627906984
AKAM,4.336950775,9779274612.0,3.1141961240310088
AKR,14.19827558,2521806919.0,2.016225968992248
AKRX,3.2042848839999998,3363287587.0,4.735899999999997
AL,2.533750388,3307968779.0,1.048914341085272
ALB,3.2098,8335509616.0,2.5205724806201544
ALE,1.969244574,2876513066.0,1.5548864341085282
ALEX,5.447716279,1860651434.0,1.530618992248063
ALG,0.9371593020000001,712679650.9,1.900263953488372
ALGN,7.13147093,6620537463.0,7.280023255813951
ALGT,1.958389535,2536588662.0,6.572286046511626
ALJ,0.132875581,649865916.7,1.1054379844961242
ALK,1.5859279069999999,9036480660.0,3.50029573643411
ALL,0.7311627909999999,25919162853.0,1.26655503875969
ALLE,2.9788240310000003,6386522705.0,100.97551240310078
ALOG,1.978555039,1030708749.0,1.950296899224806
ALR,1.5364600780000002,3725788201.0,2.589024806201551
ALSN,2.476275969,4746685136.0,4.098536821705426
ALX,9.481508108,2039448620.0,5.7334992277992285
ALXN,10.94413643,30194811709.0,3.661875968992249
AMAG,2.0824449609999998,937643109.7,1.0099655038759683
AMAT,2.795304264,27704407791.0,3.98526589147287
AMBA,5.984152326,1777859012.0,4.735379457364339
AMCX,1.6482527130000002,4360201595.0,45.26260979381446
AME,2.877906977,11275369959.0,3.3973562015503864
AMED,1.129497674,1523837758.0,3.6060860465116282
AMG,3.165072868,8406679496.0,2.8535271317829456
AMGN,5.32717093,118371000000.0,4.026411240310078
AMKR,0.553510078,1776002122.0,1.4079740310077509
AMNB,3.713932432,233579799.3,1.1602764478764471
AMP,1.406168605,16657634659.0,2.368851937984494
AMSF,2.739068217,1090786479.0,2.248212790697675
AMSWA,2.617883333,293764936.0,3.1097658914728656
AMT,8.793919767,45240287398.0,6.683153875968998
AMTD,7.149026357,17372676473.0,3.4938023255813957
AMZN,2.8582802330000003,336745000000.0,21.492372868217053
ANAT,0.992877907,3076268011.0,0.6736922480620152
ANCX,3.3200325580000003,230705295.5,1.9859379844961251
ANF,0.422984884,1475275900.0,1.1751891472868214
ANH,3.746910853,479442967.0,0.7319833333333328
