ticker,pricetorevenue,marketcap
BFIN,4.56628876,243099034.2
BFS,5.89560814,1259767820
BH,0.613844961,528674211.8
BHB,5.889631008,329085191.1
BHE,0.483160078,1169459451
BHLB,3.019455814,855451238.3
BID,2.121278295,1885575542
BIIB,5.609374031,62232748535
BIO,2.164943411,4405581308
BJRI,1.090696512,1028115937
BK,2.899102713,43708018102
BKE,1.176293023,1279313557
BKH,2.285121318,2997780002
BKMU,3.802473643,357430964.9
BKU,3.780139535,3406706472
BLDR,0.242722481,1210722769
BLK,5.203939535,58551330190
BLKB,4.432210853,2983447555
BLL,2.470849612,19774228697
BLMN,0.489245349,2119168166
BMI,4.290694961,1680652627
BMRC,4.043776448,318791143.3
BMTC,3.280501163,515069827.9
BMY,6.09660155,1.05608E+11
BNCL,7.343087209,1048225917
BNCN,4.498374031,1004949480
BOBE,4.975185915,878160819.2
BOFI,4.042771318,1265143760
BOH,5.123039922,3046370232
BOKF,3.025143798,4191217217
BPFH,2.932183721,1019030886
BPOP,1.30626124,3399079497
BR,2.588931783,7601969733
BREW,1.154148062,236247601.4
BRKL,3.831892248,842334590.5
BRKR,2.435071705,3964857000
BRKS,1.480826744,817582954.2
BRO,0.712071318,1209702662
BSET,0.680896512,298061698.1
BSFT,3.937996899,1201372117
BSRR,3.175594961,252043704.4
BSTC,12.03503861,293991672.2
BSX,3.693673256,28948251027
BTX,40.5183345,281489755.5
BUSE,3.865847287,742305989.2
BWA,0.892925969,7554218695
BWINB,1.283840154,374606396.1
BWLD,1.489282171,2837984784
BXC,0.021728571,41545891.43
BXP,7.782666667,19650140572
BYD,0.990889535,2169434263
BZH,0.173252713,310201428.1
C,1.856071318,1.36101E+11
CA,3.259383333,13176870310
CAC,4.649871318,606807771.2
CACB,3.807299612,414424626.5
CACC,4.477991473,3923900274
CACI,0.688899225,2512238993
CACQ,,1318001776
CAH,0.217292636,25846143450
CAKE,1.200652713,2584474604
CALL,1.076856202,107060667.2
CAMP,1.904343411,571811283.9
CASH,3.06114031,489678304.3
CASS,5.109084109,624476474.5
CAT,1.089249225,46502570202
CATM,1.554872868,1893076678
CATO,0.943456202,948912027.5
CATY,5.674831395,2438518970
CB,2.303006202,52975599391
CBB,0.279807364,330817267.4
CBF,4.930195736,1399977627
CBK,0.18202471,70729143.34
CBL,3.963434496,3414918837
CBM,3.322984109,1511175248
CBRL,1.245577132,3603471543
CBS,1.981315504,24903775000
CBSH,4.489737984,5027520338
CBU,4.791596124,1906689465
CBZ,0.754966795,580105204.1
CCBG,1.997755426,262266820.9
CCE,1.417227132,9820314147
CCI,8.086406202,30244424200
CCK,0.834932171,7156636291
CCMP,2.803209302,1152112084
CCNE,2.948140927,278884161
CCOI,4.016799612,1690184466
CCRN,0.577136047,452714611.9
CDNS,4.080351938,7147936304
CDR,3.894344574,581689253
CEB,2.063839147,1928342781
CECE,0.755406977,303968372.7
CELG,8.64704186,86172040322
CERN,4.274286047,19608306415
CEVA,71.62867027,4706524105
CFFI,1.417831008,144564742.8
CFFN,8.592792636,1840764113
CFG,2.583164729,12806553696
CFNB,6.016325483,148843111.5
CFNL,4.53824845,803705800.4
CFR,3.761667442,4095744077
CFX,1.087667442,3596011497
CGNX,5.201208915,2369716796
CHCO,4.250044186,744345300.3
CHDN,2.817324806,2384725457
CHE,1.509029845,2353652690
CHEF,0.353685271,390129998.6
CHFC,4.34049845,1668032549
CHFN,3.665569767,202139698.2
CHH,3.053388372,2732407220
CHMG,1.925241313,139162395.2
CHRW,0.775814729,10210465517
CHS,0.621456977,1611809627
CHSP,2.473074419,1427675957
CHTR,2.835372868,41586925037
CHUY,1.75855155,535627502.2
CI,0.879918992,33908628567
CIA,1.712703475,405608903.5
CIEN,1.151622481,2923948320
CIM,7.63805969,2872225466
CINF,2.197544574,11456452876
CIT,3.667255426,6883843220
CL,4.009613178,62742779868
CLC,2.100246512,2977594747
CLCT,2.613231783,158170675.5
CLD,0.224743411,203704703.5
CLDT,3.038763566,788424815.8
CLFD,3.438786434,236294528.7
CLGX,1.989212403,3349777052
CLI,5.0774,2532720365
CLMS,0.617032171,133539492.1
